1.245632882075945955e-02 2.789195276624424347e-01
1.265379114389168259e-02 2.774067451350634150e-01
2.219868751154824987e-02 5.056712899065366473e-01
2.234761239573446537e-02 5.041111123416088802e-01
4.310464767116845702e-02 6.717848624703746108e-01
4.315868195449596573e-02 6.707279626919524507e-01
1.059043133733862663e-02 2.062561051636767895e-01
1.074938057248695997e-02 2.048599044640438960e-01
1.776348096175236341e-02 4.509862271961022073e-01
1.788232444706795710e-02 4.493761550610328448e-01
3.369645310235373087e-02 6.508573801629200517e-01
3.376599359979543663e-02 6.492935023309307496e-01
9.800338312064921231e-03 1.214367801021633414e-01
9.989448495999626518e-03 1.195389314258359231e-01
1.497373502827648029e-02 3.929968232245598103e-01
1.511459234581371582e-02 3.906220105708154144e-01
2.877744443658161039e-02 6.384081185016324822e-01
2.887993777282097524e-02 6.351767283309248668e-01
9.964794423095694673e-03 1.249845787820987458e-01
1.030149858780259053e-02 1.213342587910880566e-01
1.479721873997632588e-02 3.871988573143060330e-01
1.504051652839815192e-02 3.826216442484251523e-01
2.780155332915833916e-02 6.396242850965699889e-01
2.791219291470732611e-02 6.335207788456527211e-01
1.017520996496625550e-02 1.273912162315226915e-01
1.059274654280700605e-02 1.225260055234156514e-01
1.503607932137898152e-02 3.888741569860676428e-01
1.532366008692148326e-02 3.827134411653350665e-01
2.923256065652161603e-02 6.558793644821310220e-01
2.926247076528010888e-02 6.477903443807878636e-01
1.062981605715321819e-02 1.301017762537509947e-01
1.110888229431910255e-02 1.237671508810109233e-01
1.586911628984935194e-02 4.000459574062618096e-01
1.614130873249603262e-02 3.917292075223580694e-01
3.669549125699751724e-02 6.706393174335145702e-01
3.639307111546019602e-02 6.624126554236121622e-01
